Strata;SU;Site;Archaeoprepona_amphimachus;Archaeoprepona_chalciope;Archaeoprepona_demophon;Archaeoprepona_demophoon;Blepolenis_bassus;Blepolenis_batea;Caligo_martia;Carminda_griseldis;Carminda_paeon;Catoblepia_amphirhoe;Diaethria_candrena;Diaethria_clymena;Epiphile_hubneri;Epiphile_orea;Eryphanis_reevesii;Eteona_tisiphone;Eunica_eburnea;Euptychoides_castrensis;Forsterinaria_necys;Forsterinaria_pronophila;Forsterinaria_quantius;Hamadryas_epinome;Hermeuptychia_sp.;Memphis_hirta;Memphis_moruus;Morpho_aega;Morpho_epistrophus;Morpho_portis;Narope_cyllastros;Opoptera_fruhstorferi;Opsiphanes_quiteria;Paryphthimoides_grimon;Praepedaliodes_phanias;Prepona_pylene;Smyrna_blomfildia;Taygetis_ypthima;Temenis_laothoe;Zaretis_strigosus
Canopy;O2;NF2;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Canopy;O2;NF3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Canopy;O2;NF4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canopy;O2;NF5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2
Canopy;O2;NF6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3
Understory;D1;NF1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Understory;D1;NF2;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Understory;D1;NF3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;4;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
Understory;D1;NF4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Understory;D1;NF5;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Understory;D1;NF6;0;0;0;0;0;0;0;0;3;0;0;0;0;0;8;0;0;0;3;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Understory;D2;NF1;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Understory;D2;NF2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Understory;D2;NF3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
Understory;D2;NF4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Understory;D2;NF5;0;0;0;0;0;0;0;0;1;0;0;0;1;0;7;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Understory;D2;NF6;0;1;0;0;0;0;0;0;0;0;1;0;0;0;21;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0
Understory;F1;NF1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0
Understory;F1;NF2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;3;0;0
Understory;F1;NF3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2;6;0;0;0;0;0;7;1;0;8;0;0;0;0;0;13;0;0
Understory;F1;NF4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;8;0;0
Understory;F1;NF5;0;5;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;20;0;0;5;0;0;0;0;0;2;0;0
Understory;F1;NF6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;14;1;42;0;0;0;0;0;2;2;0;18;0;0;0;0;0;16;0;0
Understory;F2;NF1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Understory;F2;NF2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Understory;F2;NF3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;0;0
Understory;F2;NF4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;0
Understory;F2;NF5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Understory;F2;NF6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Understory;J1;NF1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Understory;J1;NF2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Understory;J1;NF3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;6;0;0;0;0;0;0;0;0;5;0;0;0;0;0;20;0;0
Understory;J1;NF4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
Understory;J1;NF5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Understory;J1;NF6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;7;0;7;0;0;0;0;0;0;1;0;14;0;0;0;0;0;16;0;0
Understory;J2;NF1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
